userType|date|users|sessions|bounceRate|avgSessionDuration|goalConversionRateAll|pageviews
New Visitor|20150420|736|736|0.0|932.4388586956521|2.717391304347826|8412
Returning Visitor|20150420|795|835|0.0|1250.1089820359282|0.0|14438
New Visitor|20150421|537|537|0.0|976.8621973929237|3.7243947858473|5847
Returning Visitor|20150421|1094|1153|5.203816131830009|1266.187337380746|0.0|14378
New Visitor|20150422|616|616|0.0|1402.0227272727273|0.0|11017
Returning Visitor|20150422|756|815|2.4539877300613497|1132.403680981595|0.0|11395
New Visitor|20150423|457|457|4.3763676148796495|941.5142231947484|0.0|5290
Returning Visitor|20150423|616|676|0.0|1353.4541420118344|2.9585798816568047|13424
New Visitor|20150424|278|278|0.0|878.8129496402878|7.194244604316546|3261
Returning Visitor|20150424|577|597|3.350083752093802|971.1909547738693|0.0|7935
New Visitor|20150425|378|378|0.0|883.2804232804233|5.291005291005291|4594
Returning Visitor|20150425|219|199|0.0|1759.8391959798994|0.0|4017
New Visitor|20150426|338|338|0.0|991.5177514792899|0.0|4375
Returning Visitor|20150426|438|477|4.1928721174004195|1432.1865828092243|0.0|10838
New Visitor|20150427|676|676|0.0|993.8136094674556|2.9585798816568047|9188
Returning Visitor|20150427|935|1054|1.8975332068311195|1256.0037950664137|1.8975332068311195|18733
New Visitor|20150428|616|616|0.0|909.0811688311688|0.0|7338
Returning Visitor|20150428|915|955|4.18848167539267|1225.8837696335079|2.094240837696335|15890
New Visitor|20150429|318|318|0.0|923.4245283018868|0.0|3779
Returning Visitor|20150429|537|557|0.0|1245.552962298025|0.0|8034
New Visitor|20150430|438|438|4.5662100456621|859.6301369863014|0.0|6602
Returning Visitor|20150430|696|756|5.291005291005291|968.010582010582|0.0|10799
New Visitor|20150501|438|438|0.0|1017.9063926940639|0.0|6682
Returning Visitor|20150501|597|636|3.1446540880503147|1749.3238993710693|3.1446540880503147|10182
New Visitor|20150502|159|159|0.0|1631.7232704402516|0.0|2466
Returning Visitor|20150502|418|457|8.752735229759299|1341.9934354485777|8.752735229759299|10003
New Visitor|20150503|259|259|0.0|1463.4864864864865|7.722007722007722|3520
Returning Visitor|20150503|259|278|0.0|1351.3057553956835|0.0|3699
New Visitor|20150504|477|477|0.0|1040.9958071278827|0.0|6324
Returning Visitor|20150504|815|855|0.0|1125.6654970760235|2.3391812865497075|12012
New Visitor|20150505|457|457|4.3763676148796495|1084.4638949671773|0.0|7100
Returning Visitor|20150505|597|597|0.0|1284.6515912897823|0.0|8512
New Visitor|20150506|577|577|0.0|994.5147313691508|0.0|8352
Returning Visitor|20150506|636|676|0.0|1587.6834319526627|2.9585798816568047|11077
New Visitor|20150507|438|438|0.0|1207.6940639269405|4.5662100456621|6304
Returning Visitor|20150507|537|557|3.5906642728904847|1681.028725314183|3.5906642728904847|9943
New Visitor|20150508|338|338|0.0|908.792899408284|0.0|4872
Returning Visitor|20150508|477|517|3.8684719535783367|1171.05415860735|3.8684719535783367|8273
New Visitor|20150509|278|278|0.0|1603.1079136690648|0.0|4634
Returning Visitor|20150509|457|477|0.0|686.3249475890985|0.0|4574
New Visitor|20150510|159|159|0.0|1644.1069182389938|0.0|3460
Returning Visitor|20150510|278|278|7.194244604316546|975.2410071942446|0.0|4117
New Visitor|20150511|557|557|0.0|915.7953321364453|0.0|7855
Returning Visitor|20150511|915|955|0.0|1661.7078534031414|2.094240837696335|15651
New Visitor|20150512|497|497|0.0|1210.2575452716299|0.0|8591
Returning Visitor|20150512|974|1054|0.0|1013.8899430740038|0.0|13782
New Visitor|20150513|378|378|0.0|1134.6560846560847|0.0|5230
Returning Visitor|20150513|656|656|6.097560975609756|1403.1753048780488|0.0|11892
New Visitor|20150514|457|457|0.0|1416.5798687089716|0.0|7577
Returning Visitor|20150514|636|656|0.0|1160.591463414634|3.048780487804878|8432
New Visitor|20150515|497|497|0.0|1027.1549295774648|0.0|5449
Returning Visitor|20150515|756|776|2.5773195876288657|1096.903350515464|0.0|12529
New Visitor|20150516|318|318|0.0|1327.6037735849056|0.0|4514
Returning Visitor|20150516|497|517|3.8684719535783367|1071.3520309477756|0.0|7597
New Visitor|20150517|219|219|0.0|864.6712328767123|0.0|2247
Returning Visitor|20150517|497|497|0.0|1165.682092555332|0.0|7696
New Visitor|20150518|457|457|0.0|999.7833698030635|0.0|5847
Returning Visitor|20150518|736|756|5.291005291005291|867.6296296296297|0.0|7895
New Visitor|20150519|438|438|0.0|1299.9109589041095|0.0|7100
Returning Visitor|20150519|1014|1034|3.8684719535783367|1225.3491295938104|1.9342359767891684|19171
New Visitor|20150520|517|517|3.8684719535783367|1280.4526112185686|0.0|9705
Returning Visitor|20150520|616|636|3.1446540880503147|1039.7767295597484|3.1446540880503147|6523
New Visitor|20150521|418|418|0.0|901.0933014354067|0.0|5986
Returning Visitor|20150521|676|696|2.8735632183908044|1339.1048850574712|0.0|11336
New Visitor|20150522|418|418|0.0|757.6985645933014|0.0|4654
Returning Visitor|20150522|597|636|3.1446540880503147|1062.75786163522|0.0|10142
New Visitor|20150523|199|199|0.0|1010.2311557788945|0.0|2645
Returning Visitor|20150523|338|358|0.0|817.1396648044692|11.1731843575419|4534
New Visitor|20150524|398|398|0.0|1145.391959798995|0.0|7159
Returning Visitor|20150524|577|577|0.0|1643.0259965337955|0.0|11336
New Visitor|20150525|517|517|0.0|1089.5067698259188|0.0|6801
Returning Visitor|20150525|497|497|0.0|1729.1167002012073|0.0|10162
New Visitor|20150526|676|676|0.0|1066.3594674556214|0.0|9406
Returning Visitor|20150526|656|676|2.9585798816568047|1049.973372781065|5.9171597633136095|11336
New Visitor|20150527|418|418|0.0|977.976076555024|0.0|5429
Returning Visitor|20150527|537|557|3.5906642728904847|1432.8168761220825|0.0|10659
New Visitor|20150528|497|497|4.0241448692152915|864.738430583501|0.0|7835
Returning Visitor|20150528|656|696|0.0|1717.698275862069|5.747126436781609|12747
New Visitor|20150529|438|438|0.0|1333.554794520548|4.5662100456621|5827
Returning Visitor|20150529|696|696|8.620689655172415|955.3405172413793|2.8735632183908044|9605
New Visitor|20150530|358|358|5.58659217877095|1424.9106145251396|5.58659217877095|5827
Returning Visitor|20150530|418|457|13.129102844638949|1510.3566739606126|4.3763676148796495|6622
New Visitor|20150531|298|298|0.0|1303.8557046979865|0.0|4315
Returning Visitor|20150531|477|497|4.0241448692152915|1050.241448692153|0.0|6264
New Visitor|20150601|537|537|0.0|879.4283054003724|0.0|8372
Returning Visitor|20150601|636|716|2.793296089385475|1109.9427374301677|2.793296089385475|10938
New Visitor|20150602|477|477|0.0|1362.7295597484276|0.0|9307
Returning Visitor|20150602|676|696|0.0|1194.182471264368|0.0|12270
New Visitor|20150603|418|418|0.0|1188.6913875598086|0.0|7656
Returning Visitor|20150603|517|537|0.0|881.0204841713222|0.0|7816
New Visitor|20150604|477|477|0.0|916.796645702306|0.0|5091
Returning Visitor|20150604|537|537|3.7243947858473|913.0186219739293|0.0|6742
New Visitor|20150605|278|278|7.194244604316546|1516.478417266187|0.0|5310
Returning Visitor|20150605|716|756|0.0|1816.8584656084656|5.291005291005291|15273
New Visitor|20150606|398|398|5.025125628140704|1028.2713567839196|0.0|5747
Returning Visitor|20150606|338|378|0.0|1411.6507936507937|5.291005291005291|7338
New Visitor|20150607|278|278|0.0|1132.978417266187|0.0|4833
Returning Visitor|20150607|378|398|5.025125628140704|862.7286432160804|0.0|5111
New Visitor|20150608|597|597|0.0|853.9028475711892|0.0|7676
Returning Visitor|20150608|795|795|0.0|1495.9672955974843|0.0|13563
